order_id,order_date,total,status,first_name,last_name,address,city,state,postal_code,phone,email
,2021-05-12 01:15:57,0,Completed,LAMBERT,DIAMENT,4383 GULSETH CENTER,SANTA FE,NM,87592,505-883-1192,LDIAMENT0@INDIEGOGO.COM
,2021-03-03 20:30:26,0,Awaiting Shipment,TALLIE,FETTIPLACE,0039 ANDERSON PLAZA,SALT LAKE CITY,UT,84115,801-350-2420,TFETTIPLACE1@TRIPOD.COM
,2021-03-20 07:34:39,0,Completed,LYLE,SACHER,089 RUSSELL WAY,VANCOUVER,WA,98687,360-840-3336,LSACHER2@UCSD.EDU
,2021-10-12 04:52:14,0,Refunded,KEEN,BERTELSEN,99 MEADOW VALE LANE,BEAUMONT,TX,77713,409-236-3506,KBERTELSEN3@OCN.NE.JP
,2021-11-06 21:09:22,0,Completed,ISA,DURNELL,8 GULSETH POINT,DEARBORN,MI,48126,734-288-6393,IDURNELL4@FTC.GOV
,2021-05-03 18:05:20,0,Completed,GIPSY,FAIRECLOUGH,9429 RIDGEWAY HILL,ANAHEIM,CA,92805,310-887-6490,GFAIRECLOUGH5@WIKISPACES.COM
,2021-08-28 02:07:01,0,Awaiting Shipment,SOLOMON,AUGER,11252 ERIE STREET,HOUSTON,TX,77271,713-183-6812,SAUGER6@USGS.GOV
,2021-02-17 23:26:10,0,Completed,ROSALINE,GENNRICH,33 MILLER ALLEY,DES MOINES,IA,50369,515-133-7805,RGENNRICH7@OAKLEY.COM
,2021-03-01 16:35:40,0,Awaiting Shipment,TRUEMAN,KIRTLAN,32 THIERER CENTER,TORRANCE,CA,90505,310-469-6263,TKIRTLAN8@AMAZONAWS.COM
,2021-07-12 11:42:13,0,Awaiting Shipment,NERTY,GOODWIN,5 DAWN WAY,CHARLOTTE,NC,28220,704-899-0827,NGOODWIN9@MYSQL.COM
,2021-03-14 19:26:35,0,Refunded,AVA,MATYUGIN,23093 DARWIN PASS,WACO,TX,76796,254-152-9356,AMATYUGINA@MAYOCLINIC.COM
,2021-04-21 21:33:18,0,Canceled,RICKIE,BIRCKMANN,7444 FOREST COURT,NAPERVILLE,IL,60567,630-564-6909,RBIRCKMANNB@UPENN.EDU
,2021-08-14 00:09:29,0,Completed,HAMNET,LUBE,21425 ARIZONA JUNCTION,CUMMING,GA,30130,706-739-4054,HLUBEC@WASHINGTONPOST.COM
,2021-09-12 17:38:35,0,Completed,LELIA,LE BARR,59 MICHIGAN PARKWAY,TULSA,OK,74103,918-856-5308,LLEBARRD@SAMSUNG.COM
,2021-07-28 11:45:48,0,Completed,SKIPTON,SCOPYN,1672 DUKE TERRACE,CANTON,OH,44760,234-383-2340,SSCOPYNE@WIX.COM
,2021-02-23 10:17:23,0,Refunded,MAX,ALBRECHT,4 COMANCHE PLAZA,BOISE,ID,83732,208-332-0088,MALBRECHTF@MICROSOFT.COM
,2021-02-11 10:18:51,0,Completed,ROCHELLE,DESAUR,7511 OXFORD STREET,PHILADELPHIA,PA,19146,215-648-7820,RDESAURG@GMPG.ORG
,2021-06-22 05:20:40,0,Completed,JERRINE,DAWTRY,2933 JOHNSON CROSSING,PORTLAND,OR,97229,971-275-0152,JDAWTRYH@BUSINESSWIRE.COM
,2021-11-25 08:01:15,0,Awaiting Shipment,SKELLY,BEET,12292 ORIN LANE,LANCASTER,PA,17622,717-248-4911,SBEETI@QQ.COM
,2021-03-31 09:56:43,0,Completed,ROURKE,SHYRE,33 MARQUETTE ROAD,ANCHORAGE,AK,99599,907-228-3342,RSHYREJ@SQUIDOO.COM
,2021-06-22 04:32:57,0,Completed,LYNNE,RAYBOULD,99 LA FOLLETTE JUNCTION,AUGUSTA,GA,30905,706-731-3485,LRAYBOULDK@SMUGMUG.COM
,2021-04-27 02:54:45,0,Awaiting Shipment,GYPSY,WALDING,6089 NORTHVIEW JUNCTION,CLEVELAND,OH,44197,216-377-6289,GWALDINGL@COCOLOG-NIFTY.COM
,2021-01-31 08:08:25,0,Completed,LAURALEE,SKAIF,74 TRANSPORT PLACE,STERLING,VA,20167,571-283-0714,LSKAIFM@DEVHUB.COM
,2021-11-25 12:44:17,0,Awaiting Shipment,CHRISTIAN,BANFORD,9 COMMERCIAL POINT,JACKSON,MS,39296,601-858-0609,CBANFORDN@ARIZONA.EDU
,2021-07-06 04:01:07,0,Awaiting Shipment,FERGUSON,DAINTITH,33 MEADOW VALLEY LANE,LEXINGTON,KY,40515,859-872-5284,FDAINTITHO@DROPBOX.COM
,2021-02-15 17:36:42,0,Completed,AMALIA,FLOYED,78 HOVDE CENTER,BROOKLYN,NY,11236,718-785-1698,AFLOYEDP@WEBNODE.COM
,2021-03-09 12:16:18,0,Canceled,DARYL,WINNETT,4 EGGENDART WAY,KNOXVILLE,TN,37939,865-508-9738,DWINNETTQ@ALTERVISTA.ORG
,2021-10-19 07:20:00,0,Completed,FREDERIGO,MUSSARED,73685 JAY COURT,CORONA,CA,92878,951-663-5573,FMUSSAREDR@GOOGLE.COM.AU
,2021-06-08 13:30:29,0,Completed,CHLOE,SAUVAGE,484 SHERMAN POINT,MACON,GA,31205,478-372-9683,CSAUVAGES@HEXUN.COM
,2021-03-18 16:19:47,0,Completed,FREDA,CHEVERTON,5 GRAEDEL WAY,SANTA CRUZ,CA,95064,831-196-7812,FCHEVERTONT@DELICIOUS.COM
,2021-02-13 19:55:13,0,Completed,FAYDRA,BONDE,74815 GOLF PLACE,ATLANTA,GA,30336,404-432-3417,FBONDEU@UMN.EDU
,2021-01-12 23:37:21,0,Canceled,SAUNDER,CAYGILL,10718 MANLEY CENTER,DALLAS,TX,75265,214-876-7452,SCAYGILLV@ILLINOIS.EDU
,2021-02-12 19:03:49,0,Completed,ROGER,STANIFORTH,473 STEPHEN ROAD,FRESNO,CA,93726,209-879-1350,RSTANIFORTHW@MAIL.RU
,2021-01-25 12:32:37,0,Refunded,BERNADENE,SILVERSON,37365 JOHN WALL ALLEY,KANSAS CITY,MO,64144,816-194-2567,BSILVERSONX@THEGUARDIAN.COM
,2021-09-13 04:45:48,0,Canceled,PHILIPPA,JOUANNY,63 SPRINGS PARKWAY,SPOKANE,WA,99205,509-649-3148,PJOUANNYY@DEDECMS.COM
,2021-09-01 21:06:05,0,Completed,ALBERT,WELCH,9 ANTHES PLACE,DALLAS,TX,75397,214-415-3310,AWELCHZ@TYPEPAD.COM
,2021-10-02 16:38:47,0,Awaiting Shipment,OLVAN,BROADBURY,71984 MELODY CIRCLE,PEORIA,IL,61651,309-493-3423,OBROADBURY10@BBC.CO.UK
